7204,いわき市,いわき市
8202,日立市,日立市
8204,古河市,古河市
8208,龍ケ崎市,龍ケ崎市
8210,下妻市,下妻市
8217,取手市,取手市
8219,牛久市,牛久市
8220,つくば市,つくば市
8221,ひたちなか市,ひたちなか市
8232,神栖市,神栖市
8235,つくばみらい市,つくばみらい市
8442,稲敷郡美浦村,美浦村
8443,稲敷郡阿見町,阿見町
8564,北相馬郡利根町,利根町
9201,宇都宮市,宇都宮市
9203,栃木市,栃木市
9204,佐野市,佐野市
9208,小山市,小山市
9209,真岡市,真岡市
9301,河内郡上三川町,上三川町
9345,芳賀郡芳賀町,芳賀町
9361,下都賀郡壬生町,壬生町
10201,前橋市,前橋市
10202,高崎市,高崎市
10208,渋川市,渋川市
10209,藤岡市,藤岡市
10321,群馬郡榛名町,榛名町
10523,邑楽郡千代田町,千代田町
10525,邑楽郡邑楽町,邑楽町
11101,さいたま市西区,さいたま市西区
11102,さいたま市北区,さいたま市北区
11103,さいたま市大宮区,さいたま市大宮区
11104,さいたま市見沼区,さいたま市見沼区
11105,さいたま市中央区,さいたま市中央区
11106,さいたま市桜区,さいたま市桜区
11107,さいたま市浦和区,さいたま市浦和区
11108,さいたま市南区,さいたま市南区
11109,さいたま市緑区,さいたま市緑区
11110,さいたま市岩槻区,さいたま市岩槻区
11202,熊谷市,熊谷市
11203,川口市,川口市
11206,行田市,行田市
11208,所沢市,所沢市
11210,加須市,加須市
11216,羽生市,羽生市
11217,鴻巣市,鴻巣市
11218,深谷市,深谷市
11219,上尾市,上尾市
11221,草加市,草加市
11222,越谷市,越谷市
11223,蕨市,蕨市
11224,戸田市,戸田市
11226,鳩ケ谷市,鳩ケ谷市
11227,朝霞市,朝霞市
11229,和光市,和光市
11230,新座市,新座市
11231,桶川市,桶川市
11232,久喜市,久喜市
11234,八潮市,八潮市
11237,三郷市,三郷市
11238,蓮田市,蓮田市
11246,白岡市,白岡市
11301,北足立郡伊奈町,伊奈町
11304,北足立郡吹上町,吹上町
11445,南埼玉郡白岡町,白岡町
11446,南埼玉郡菖蒲町,菖蒲町
12101,千葉市中央区,中央区
12102,千葉市花見川区,花見川区
12103,千葉市稲毛区,稲毛区
12104,千葉市若葉区,若葉区
12105,千葉市緑区,緑区
12106,千葉市美浜区,美浜区
12203,市川市,市川市
12204,船橋市,船橋市
12205,館山市,館山市
12206,木更津市,木更津市
12207,松戸市,松戸市
12208,野田市,野田市
12211,成田市,成田市
12212,佐倉市,佐倉市
12215,旭市,旭市
12216,習志野市,習志野市
12217,柏市,柏市
12219,市原市,市原市
12220,流山市,流山市
12221,八千代市,八千代市
12222,我孫子市,我孫子市
12224,鎌ヶ谷市,鎌ヶ谷市
12225,君津市,君津市
12226,富津市,富津市
12227,浦安市,浦安市
12228,四街道市,四街道市
