814608,3,3,44428,13101,千代田区
814608,29646,29646,44428,13103,港区
814608,20,20,44428,13104,新宿区
814608,19278,19278,44428,13113,渋谷区
814609,84,84,44429,13110,目黒区
814609,51587,51587,44429,13111,大田区
814610,25283,25283,44430,13109,品川区
814610,42245,42245,44430,13111,大田区
814611,29340,29340,44431,13111,大田区
814612,0,0,44432,13101,千代田区
814612,59,59,44432,13103,港区
814612,72923,72923,44432,13104,新宿区
814612,25,25,44432,13113,渋谷区
814613,37371,37371,44433,13104,新宿区
814613,236,236,44433,13114,中野区
814614,10367,10367,44434,13104,新宿区
814614,35564,35564,44434,13113,渋谷区
814614,25642,25642,44434,13114,中野区
814614,4335,4335,44434,13115,杉並区
814615,2,2,44435,13104,新宿区
814615,1958,1958,44435,13110,目黒区
814615,29,29,44435,13112,世田谷区
814615,54859,54859,44435,13113,渋谷区
814616,35781,35781,44436,13110,目黒区
814616,33740,33740,44436,13112,世田谷区
814617,20098,20098,44437,13114,中野区
814617,4285,4285,44437,13115,杉並区
814617,40110,40110,44437,13120,練馬区
814618,65688,65688,44438,13115,杉並区
814619,84371,84371,44439,13112,世田谷区
814619,2764,2764,44439,13115,杉並区
814620,38508,38508,44440,13110,目黒区
814620,13445,13445,44440,13111,大田区
814620,98043,98043,44440,13112,世田谷区
814623,8,8,44441,11229,和光市
814624,999,999,44441,11229,和光市
814621,2116,2116,44441,11229,和光市
814622,12936,12936,44441,11229,和光市
814622,262,262,44441,13119,板橋区
814622,5,5,44441,13120,練馬区
814625,3046,3046,44442,13119,板橋区
814625,42000,42000,44442,13120,練馬区
814626,10244,10244,44443,13119,板橋区
814626,38750,38750,44443,13120,練馬区
814627,35090,35090,44444,13116,豊島区
814627,29149,29149,44444,13119,板橋区
814627,404,404,44444,13120,練馬区
814628,1242,1242,44445,13101,千代田区
814628,48,48,44445,13104,新宿区
814628,125023,125023,44445,13105,文京区
814628,12488,12488,44445,13106,台東区
814628,75877,75877,44445,13116,豊島区
814628,17025,17025,44445,13117,北区
814628,2033,2033,44445,13118,荒川区
814628,328,328,44445,13119,板橋区
814629,2,2,44446,13101,千代田区
814629,71848,71848,44446,13103,港区
814629,2,2,44446,13113,渋谷区
814630,1991,1991,44447,13103,港区
814630,60120,60120,44447,13109,品川区
814631,2150,2150,44447,13109,品川区
814630,4477,4477,44447,13111,大田区
814632,4768,4768,44448,13103,港区
814633,3869,3869,44448,13103,港区
814634,163,163,44448,13103,港区
814635,7855,7855,44448,13103,港区
814634,477,477,44448,13109,品川区
814636,1027,1027,44448,13109,品川区
814642,13,13,44449,13109,品川区
814637,4542,4542,44449,13109,品川区
814637,1,1,44449,13111,大田区
814638,131,131,44449,13111,大田区
814639,109,109,44449,13111,大田区
814640,227,227,44449,13111,大田区
814641,266,266,44449,13111,大田区
814642,4,4,44449,13111,大田区
814643,43,43,44449,13111,大田区
814644,69,69,44449,13111,大田区
814645,79844,79844,44450,13111,大田区
814646,206,206,44451,13101,千代田区
814646,88,88,44451,13103,港区
814647,535,535,44452,13101,千代田区
814647,13,13,44452,13103,港区
814648,1275,1275,44453,13104,新宿区
814649,1291,1291,44454,13101,千代田区
814649,70,70,44454,13102,中央区
814649,132,132,44454,13103,港区
814650,5535,5535,44455,13112,世田谷区
814650,53209,53209,44455,13115,杉並区
814651,555,555,44455,13115,杉並区
814652,31912,31912,44456,13101,千代田区
814653,163,163,44457,13101,千代田区
814653,65773,65773,44457,13104,新宿区
814653,4227,4227,44457,13105,文京区
814653,4770,4770,44457,13116,豊島区
814654,28673,28673,44458,13104,新宿区
814654,24546,24546,44458,13114,中野区
814654,17505,17505,44458,13116,豊島区
814654,14755,14755,44458,13120,練馬区
814655,949,949,44459,13114,中野区
814656,55677,55677,44460,13114,中野区
814656,22807,22807,44460,13115,杉並区
814657,33602,33602,44461,13103,港区
814657,21920,21920,44461,13109,品川区
814657,69,69,44461,13113,渋谷区
814658,82761,82761,44462,13111,大田区
814659,6391,6391,44463,11229,和光市
814659,32309,32309,44463,13119,板橋区
814659,4352,4352,44463,13120,練馬区
814660,30080,30080,44464,13120,練馬区
814661,105616,105616,44465,13109,品川区
814661,534,534,44465,13110,目黒区
814661,7588,7588,44465,13111,大田区
814662,9051,9051,44466,13109,品川区
814662,68796,68796,44466,13110,目黒区
814662,244,244,44466,13111,大田区
814663,24394,24394,44467,13114,中野区
814663,55509,55509,44467,13115,杉並区
814664,9925,9925,44468,13104,新宿区
814664,49420,49420,44468,13114,中野区
814664,1392,1392,44468,13115,杉並区
814665,91569,91569,44469,13112,世田谷区
814666,22066,22066,44470,13116,豊島区
814666,1690,1690,44470,13119,板橋区
814666,9211,9211,44470,13120,練馬区
814667,39331,39331,44471,13111,大田区
814668,5900,5900,44472,13110,目黒区
814668,69256,69256,44472,13112,世田谷区
814668,3280,3280,44472,13113,渋谷区
814669,3639,3639,44473,13103,港区
814669,763,763,44473,13109,品川区
814669,7651,7651,44473,13110,目黒区
814669,41611,41611,44473,13113,渋谷区
814670,35661,35661,44474,13111,大田区
814671,4978,4978,44475,13101,千代田区
814671,112451,112451,44475,13106,台東区
814671,51118,51118,44475,13118,荒川区
814672,15,15,44475,13118,荒川区
814673,29456,29456,44476,13102,中央区
814674,2,2,44476,13102,中央区
814675,80609,80609,44477,13107,墨田区
814675,21684,21684,44477,13108,江東区
814676,34976,34976,44478,13117,北区
814677,45,45,44479,11234,八潮市
814677,133823,133823,44479,13121,足立区
814677,2074,2074,44479,13122,葛飾区
